,Feature Dataset Name,Feature Class Name
0,Root,EGISDB.LRS.UrbanAreaOld
1,,EGISDB.LRS.StudyArea
2,,EGISDB.LRS.StateBoundary
3,,EGISDB.LRS.Redline
4,,EGISDB.LRS.LRSN_Milepoint
5,,EGISDB.LRS.LRSE_Widening
6,,EGISDB.LRS.LRSE_USRoute
7,,EGISDB.LRS.LRSE_UrbanCode
8,,EGISDB.LRS.LRSE_TurnLaneRight
9,,EGISDB.LRS.LRSE_TurnLaneLeft
10,,EGISDB.LRS.LRSE_Truck
11,,EGISDB.LRS.LRSE_Toll
12,,EGISDB.LRS.LRSE_ThroughLane
13,,EGISDB.LRS.LRSE_TerrainType
14,,EGISDB.LRS.LRSE_StructurePt
15,,EGISDB.LRS.LRSE_Structure
16,,EGISDB.LRS.LRSE_StreetName
17,,EGISDB.LRS.LRSE_STRAHNETType
18,,EGISDB.LRS.LRSE_SpeedLimit
19,,EGISDB.LRS.LRSE_Signals
20,,EGISDB.LRS.LRSE_Shoulder
21,,EGISDB.LRS.LRSE_SampleSection
22,,EGISDB.LRS.LRSE_RouteSigning
23,,EGISDB.LRS.LRSE_RouteQualifier
24,,EGISDB.LRS.LRSE_RouteNumber
25,,EGISDB.LRS.LRSE_PSR
26,,EGISDB.LRS.LRSE_PeakParking
27,,EGISDB.LRS.LRSE_PeakLane
28,,EGISDB.LRS.LRSE_PctPassingSight
29,,EGISDB.LRS.LRSE_Ownership
30,,EGISDB.LRS.LRSE_NHS
31,,EGISDB.LRS.LRSE_Median
32,,EGISDB.LRS.LRSE_MaintenanceOperations
33,,EGISDB.LRS.LRSE_LaneWidth
34,,EGISDB.LRS.LRSE_Grade
35,,EGISDB.LRS.LRSE_FutureFacility
36,,EGISDB.LRS.LRSE_FSystem
37,,EGISDB.LRS.LRSE_FacilityType
38,,EGISDB.LRS.LRSE_EvacuationRoute
39,,EGISDB.LRS.LRSE_DominanceExclusion
40,,EGISDB.LRS.LRSE_Curve
41,,EGISDB.LRS.LRSE_CountyCode
42,,EGISDB.LRS.LRSE_CounterPeakLane
43,,EGISDB.LRS.LRSE_AlternativeRouteName
44,,EGISDB.LRS.LRSE_AccessControl
45,,EGISDB.LRS.FederalBoundary
46,,EGISDB.LRS.Division
47,,EGISDB.LRS.CountyBoundary
48,,EGISDB.LRS.CityBoundary
49,,EGISDB.LRS.Centerline
50,,EGISDB.LRS.CalibrationPoint
51,,EGISDB.LRS.UrbanArea
52,,EGISDB.LRS.EGIS_AREA_BOUNDARIES
53,,EGISDB.LRS.LRSE_Milepost_Map
54,,EGISDB.LRS.TrafficCounterRef
55,,EGISDB.LRS.LRSE_Milepost_Map_Linear
56,,EGISDB.LRS.EGIS_REGION_BOUNDARIES
57,,EGISDB.LRS.EGIS_DISTRICT_BOUNDARIES
58,,EGISDB.LRS.NHD_FLOWLINE_HR
59,,EGISDB.LRS.TrafficSections
60,,EGISDB.LRS.LRSI_Intersection_LRS
61,,EGISDB.LRS.FACTORGROUPPOLYGONS
62,,EGISDB.LRS.PPR_2017
63,,EGISDB.LRS.Projects
64,,EGISDB.LRS.Milemarker
65,,EGISDB.LRS.MAINTENANCE_Roadmap_Signs
66,,EGISDB.LRS.State_Grid
67,,EGISDB.LRS.MAINTENANCE_Federal_Aid
68,,EGISDB.LRS.House_Districts
69,,EGISDB.LRS.Senate_Districts
70,,EGISDB.LRS.Congressional_Districts
71,,EGISDB.LRS.LRSE_Paved
72,,EGISDB.LRS.LRSE_SafetyLinks
73,,EGISDB.LRS.LRSE_SafetyNodes
74,,EGISDB.LRS.LRSE_RailCrossing
75,,EGISDB.LRS.LRS_RINV_PavedShoulder
76,,EGISDB.LRS.LRS_RINV_Barrier
77,,EGISDB.LRS.RowMaps
78,,EGISDB.LRS.LRSN_Milepost
79,,EGISDB.LRS.LRSN_Equation
80,,EGISDB.LRS.LRSE_RailCrossings
81,,EGISDB.LRS.TempExternalRoutes
82,,EGISDB.LRS.LRS_RINV_NmdRoadsBridge
83,,EGISDB.LRS.MANT_Roadmap_NamedSigns
84,,EGISDB.LRS.LRSE_CPMSProjectLocation
85,,EGISDB.LRS.RestAreas
86,,EGISDB.LRS.LRSE_Friction
87,,EGISDB.DBO.Overlaps_Output
88,,EGISDB.LRS.LRS_RINV_ConBulletin
89,,EGISDB.LRS.LRS_RINV_Divided
90,,EGISDB.LRS.LRS_DES_Crash
91,,EGISDB.LRS.spvwHouseDistricts
92,,EGISDB.LRS.spvwSenateDistricts
